#Data spectrum
#Wavelength(microns)	fp/fs	error	width_bin(microns)
9.452720000000000011e-01 9.281749495207262945e-05 4.436566946912647003e-05
9.548730000000000828e-01 9.355621458250090760e-05 4.349624044029663149e-05
9.645715000000000261e-01 1.406968865418759852e-04 5.390784352476102423e-05
9.743680000000000119e-01 -1.022077259263977006e-05 4.305458535535453132e-05
9.842640000000000278e-01 7.101866484739322060e-05 4.411879464386414502e-05
9.942610000000000614e-01 -3.425383612899734607e-06 5.010748714945128472e-05
1.004359500000000072e+00 5.763235196786243431e-05 4.112753697934347195e-05
1.014559999999999906e+00 8.776048066248240452e-05 4.053327626231764837e-05
1.024864500000000067e+00 1.187330459485195014e-04 4.019962076531060052e-05
1.035274000000000028e+00 6.715923505536819382e-05 3.941891324823767432e-05
1.045788500000000010e+00 1.518155879761207768e-04 3.978540574483047424e-05
1.056410000000000071e+00 5.999585892621679684e-05 4.831970532696828834e-05
1.067139999999999977e+00 1.122037285264989166e-04 3.881761558863278041e-05
1.077978499999999951e+00 7.440964330154725714e-05 3.820215335112494816e-05
1.088926999999999978e+00 1.323590520148160902e-04 4.387148081983858886e-05
1.099986499999999978e+00 1.439066074518455121e-04 3.765144908480936773e-05
1.111158500000000160e+00 7.173866001814546711e-05 3.839718974970319208e-05
1.122443999999999997e+00 1.120835893774502906e-04 3.738255834697103651e-05
1.133843999999999852e+00 1.216829122588017619e-04 3.794627824580155419e-05
1.145359999999999934e+00 6.533222159581357502e-05 3.815022446179703507e-05
1.156992999999999938e+00 3.957452793269695268e-05 3.835518901022134806e-05
1.168744499999999853e+00 1.422116970481902972e-04 3.850168219617979839e-05
1.180614999999999970e+00 1.264053518350281326e-04 3.254143754732144624e-05
1.192606000000000055e+00 1.365847389410481674e-04 3.785385774610408176e-05
1.204718999999999873e+00 1.133110678948271165e-04 3.814365321295681231e-05
1.216954499999999939e+00 1.017582806228563703e-04 3.698690269741174169e-05
1.229314500000000088e+00 1.269401969297417746e-04 3.793797478299666405e-05
1.241800500000000085e+00 1.542387295042080275e-04 3.348290920399948499e-05
1.254413000000000000e+00 1.307994684091584039e-04 3.901479873533419658e-05
1.267153500000000044e+00 1.229034784518889464e-04 4.000883978280955620e-05
1.280023499999999981e+00 2.223777902753695877e-04 3.446371377982413104e-05
1.293023999999999951e+00 1.746612991211163313e-04 4.051038826806142292e-05
1.306156500000000165e+00 2.484070793604882554e-04 3.449025277143685537e-05
1.319422499999999943e+00 1.420888736486045632e-04 4.084866899494297879e-05
1.332823499999999939e+00 1.983885589499300404e-04 3.617805540125668698e-05
1.346360499999999849e+00 1.171849098683726970e-04 4.273816319449056452e-05
1.360034999999999883e+00 1.654255701582368898e-04 3.599683443686945371e-05
1.373848500000000028e+00 2.192775882505903638e-04 4.272865392254095510e-05
1.387801999999999980e+00 1.434514747764982327e-04 3.843341744216534410e-05
1.401896999999999949e+00 6.853939059980384619e-05 3.903866397366699011e-05
1.416135499999999992e+00 1.995302623037266269e-04 4.541127413107830685e-05
1.430518500000000026e+00 1.273379614533816893e-04 3.971579568068824955e-05
1.445047499999999818e+00 1.576900245479477027e-04 7.669389528689680231e-05
1.459724500000000091e+00 1.242370584256197261e-04 4.240159964629591825e-05
1.474550499999999875e+00 1.541866790519235005e-04 5.008867962296679614e-05
1.489526999999999823e+00 1.162220514521910452e-04 4.393027964534740711e-05
1.504655500000000146e+00 1.003999110856363227e-04 4.442667903498736192e-05
1.519937500000000163e+00 1.163793141798086798e-04 4.608876834684434964e-05
1.535374500000000086e+00 1.958133445072913776e-04 9.491343195514604031e-05
1.550968499999999972e+00 2.673046688216234104e-04 5.856942142529062085e-05
1.566721000000000030e+00 2.151841597319964744e-04 4.907515253706470562e-05
1.582633500000000026e+00 2.841893877867970441e-04 4.927070767459894166e-05
1.598708000000000018e+00 3.325839790328782158e-04 9.024293872279741890e-05
1.614945500000000145e+00 3.239318945750289751e-04 5.401971433135442917e-05
1.631347499999999950e+00 3.478526499464088700e-04 4.767896255643186534e-05
1.647916500000000006e+00 3.830182387376760019e-04 5.584544499010843269e-05
